,listing_names,listing_prices,location,netm2,bedroom_number,building_floor_number,floor,heating_system,age,situation,seller,title_dead_status,credit,rent_income
974,YONAT CAKMAN DAN GÖZTEPEDE BAĞDATA YAKIN İSTASYON CAD. ÜZERİNDE,7450000,Göztepe,135.0,31.0,5.0,2,Merkezi Sistem,31-35,Boş,,Kat Mülkiyeti,Evet,0.0
975,GÖZTEPE'DE BAĞDAT CD YAKIN GENİŞ 4+1 BALKONLU BOŞ SATILIK DAİRE,12750000,Göztepe,180.0,41.0,7.0,2,Klima,4,Boş,,,Evet,0.0
976,TÜTÜNCÜ MEHMET EFENDİ'DE 3+1 135 NET BALKONLU MÜTHİŞ KONUMDA,6950000,Göztepe,135.0,31.0,6.0,2,Merkezi Sistem (Isı Payı Ölçer),26-30,Boş,,,Evet,0.0
977,GÖZTEPE'DE 2018 YAPIMI BİNADA 125M2 3+1 BOŞ DAİRE,6650000,Göztepe,95.0,31.0,10.0,9,Klima,4,Boş,,,Evet,0.0
978,TRENDHOME ALTUNEL'DEN GÖZTEPE'DE YENİ BİNA 3+1 EBEVEYN BANYO,6500000,Göztepe,90.0,31.0,10.0,9,Klima,6-10,Boş,,,Evet,0.0
979,TÜTÜNCÜ MEHMET EFENDİ'DE 2010 YAPIMI EBEVEYN BANYOLU 3+1,6950000,Göztepe,90.0,31.0,7.0,5,Klima,6-10,Boş,,,Evet,0.0
980,YONAT CAKMAN DAN BAĞDATA YAKIN KOMPLE YENİLENMİŞ,5250000,Göztepe,100.0,31.0,7.0,2,Merkezi Sistem,21-25,Boş,,Kat Mülkiyeti,Evet,0.0
981,GÖZTEPE MARMARAYA YAKIN 125M2 3+1 BALKONLU SIFIR BİNA,7250000,Göztepe,95.0,31.0,7.0,3,Klima,0,Boş,,,Evet,0.0
982,GÖZTEPE TANZİMAT SK. (BOŞ) 2018 YAPIMI İSKANLI 95M2 BALKONLU 2+1,5175000,Göztepe,70.0,21.0,9.0,6,Klima,4,Boş,,,Evet,0.0
983,GÖZTEPE BAĞDAT'A YAKIN 93M2 KISMİ DENİZ MAN.2+1 KİRACILI DAİRE,5000000,Göztepe,74.0,21.0,1020.0,7,Klima,6-10,Kiracılı,,,Evet,0.0
984,YONAT CAKMAN DAN TEK YETKİLİ!!ÖMERPAŞA DA DEMİRLİ İNŞAAT YAPIMI,5950000,Göztepe,105.0,31.0,1020.0,1,Kombi (Doğalgaz),11-15,Kiracılı,,Kat Mülkiyeti,Evet,0.0
985,"Bağdat Caddesi, Çiftehavuzlarda Satılık 5+2 Dubleks Daire",18500000,Göztepe,300.0,52.0,4.0,4,Kombi (Doğalgaz),21-25,Mülk,,Kat İrtifakı,Evet,
986,OPTİMA'DAN GÖZTEPEDE MARMARAYA YAKIN SIFIR BİNADA SATILIK EBEVEY,7250000,Göztepe,95.0,31.0,,,Kombi (Doğalgaz),0,,,,Hayır,
987,OPTİMA'DAN GÖZTEPEDE BAĞDATA YAKIN KÖŞE BİNADA BALKONLU 3+1,7500000,Göztepe,92.0,31.0,7.0,4,Klima,0,Boş,,,Evet,0.0
988,65 Net 2+1 Daire,3950000,Göztepe,65.0,,,,,,,,,Evet,0.0
989,MERDİVENKÖYDE SİTE İÇİ LÜX 3+1 165 M2,6750000,Merdivenköy,145.0,31.0,1020.0,Bahçe katı,Kombi (Doğalgaz),11-15,Mülk,Danışman,,Evet,0.0
990,GÖZTEPE'DE E-5'E CEPHE 1. SINIF YENİ İNŞA EDİLMİŞ KOMPLE BİNA,121750000,Merdivenköy,3051.0,,9.0,,,0,,,,Evet,
991,GÖZTEPE ŞAİR ARŞİ CADDESİ ÜZERİNDE KİRACILI 105 M2 DÜKKAN,3500000,Merdivenköy,90.0,2.0,1020.0,Zemin Kat,Merkezi Sistem (Isı Payı Ölçer),2,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
992,"GÖZTEPE MİNÜBÜSE YAKIN 165M2 EBEVENY BANYOLU,MANTOLAMALI GENÇ Bİ",4490000,Merdivenköy,145.0,31.0,10.0,3,Merkezi Sistem,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
993,TURYAP'TAN MERDİVENKÖY DR.ERKİN CADDESİNDE SATILIK 3+1 DAİRE,3500000,Merdivenköy,100.0,31.0,5.0,5,Merkezi Sistem,31-35,Kiracılı,,Kat Mülkiyeti,Evet,0.0
994,TURYAP'TAN MERDİVENKÖY'DE NEZİH BİR SOKAKTA SATILIK 3+1 DAİRE,5250000,Merdivenköy,90.0,31.0,1020.0,8,Klima,3,Kiracılı,,Kat Mülkiyeti,Evet,0.0
995,Merdivenköy Onay Sitesi'nde Kapanmaz Manzaralı Satılık 3+1 Daire,3050000,Merdivenköy,90.0,31.0,1020.0,10,Merkezi Sistem,21-25,Mülk,Danışman,,Evet,0.0
996,3 Months to Key Delivery *Available for TURKISH CITIZENSHIP,6800000,Merdivenköy,102.0,31.0,10.0,10,Kombi (Doğalgaz),0,Boş,,Kat Mülkiyeti,Evet,0.0
997,Yetkili Dinamik'ten Bussines İstanbulda 250m2 Net Hazır Kiracılı,6950000,Merdivenköy,255.0,2.0,,,Fancoil,1,,,,Evet,0.0
998,KADIKÖY MERDİVENKÖY'DE SATILIK SIFIR DAİRE,8000000,Merdivenköy,112.0,31.0,1020.0,1,Merkezi Sistem,0,Boş,Danışman,Kat Mülkiyeti,Evet,
999,ANA CADDE ÜZERİNDE 320 M2 DÜKKAN,7500000,Merdivenköy,272.0,3.0,5.0,Zemin Kat,Merkezi Sistem (Isı Payı Ölçer),16-20,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
1000,LANSMANA ÖZEL! GÖZTEPE ÇEMENZAR'DA İNŞAATTAN SATILIK 3+1 DAİRE,6050000,Merdivenköy,85.0,31.0,8.0,5,Kombi (Doğalgaz),0,Boş,,Kat Mülkiyeti,Evet,0.0
1001,Merdivenköyde Minibüs Caddesine Yakın 2+1 Daire EMLAK MASASI,3180000,Merdivenköy,75.0,21.0,7.0,2,Kombi (Doğalgaz),31-35,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
1002,MERDİVENKÖY DE SATILIK ARA KAT DAİRE!!,2975000,Merdivenköy,110.0,31.0,6.0,1,Merkezi Sistem (Isı Payı Ölçer),26-30,Kiracılı,,,Evet,0.0
1003,MERDİVENKÖY DE SATILIK ARA KAT DAİRE!!,2975000,Merdivenköy,110.0,31.0,6.0,1,Merkezi Sistem (Isı Payı Ölçer),26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
1004,GÖZTEPE HASTANEYE ADIM MESAFEDE 2 BALKONLU KOMBİLİ 154M2 3+1,4020000,Merdivenköy,110.0,31.0,6.0,1,Kombi (Doğalgaz),31-35,Boş,Danışman,Kat İrtifakı,Evet,0.0
1005,"GÖZTEPE'DE,MERKEZİ KONUMDA,SIFIR,EBEVEYN BANYOLU,116M2,2+1",5750000,Merdivenköy,83.0,21.0,1020.0,10,Kalorifer (Doğalgaz),0,Boş,,Kat İrtifakı,Evet,
1006,CİTY'DEN MERDİVENKÖY'DE MİNİBÜS CD.'SİN YAKIN YENİ 130M2 3+1,5500000,Merdivenköy,90.0,31.0,7.0,7,Kombi (Doğalgaz),0,Boş,,Kat İrtifakı,Evet,0.0
1007,"GÖZTEPE'DE,MİNİBÜS CAD.ÜSTÜNDE,GENİŞ,BALKONLU,140M2,3+1",7000000,Merdivenköy,100.0,31.0,1020.0,11,Kombi (Doğalgaz),0,Boş,,Kat İrtifakı,Evet,
1008,Kadikoy Inci projesinden 3+1 85 m2 net balkonlu ebebeyn banyolu,4750000,Merdivenköy,85.0,31.0,1020.0,13,Merkezi Sistem (Isı Payı Ölçer),1,Boş,,,Evet,0.0
1009,"CİTY, MERDİVENKÖY'DE,ŞEHİR HAST.KOMŞU,BALKONLU,GENİŞ,105M2,2+1",2850000,Merdivenköy,75.0,21.0,6.0,1,Merkezi Sistem (Isı Payı Ölçer),31-35,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
1010,"CITY'DEN SAHRAYICEDİD'DE  120M2,3+1 SIFIR DAİRE..",5500000,Merdivenköy,85.0,31.0,8.0,8,Kombi (Doğalgaz),0,Boş,Danışman,Kat İrtifakı,Evet,0.0
1011,MERDİVENKÖY'de 3+1 ARAKAT SATILIK DAİRE,3300000,Merdivenköy,110.0,31.0,6.0,2,Merkezi Sistem,31-35,Boş,,,Evet,0.0
1012,MERDİVENKÖY BROOKLYN PARKTA 4 YAŞINDA  EBEVEYNLİ 137M2 3+1,4050000,Merdivenköy,98.0,31.0,20.0,3,Merkezi Sistem (Isı Payı Ölçer),4,Kiracılı,Danışman,Kat İrtifakı,Evet,0.0
1013,Merdivenköy'de Minibüs Caddesi'ne Yakın Satılık 3+1 Daire,4950000,Merdivenköy,80.0,31.0,10.0,3,Merkezi Sistem,5,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
1014,Şair Arşi Caddesine 3. Bina 3+1 Satılık Daire,3200000,Merdivenköy,105.0,31.0,8.0,3,Merkezi Sistem,31-35,Kiracılı,,,Evet,0.0
1015,GÖZTEPE'DE YEŞİLLİKLER İÇİNDE BALKONLU 2+1 DAİRE,2750000,Merdivenköy,90.0,21.0,7.0,2,Klima,26-30,Kiracılı,,,Evet,0.0
1016,Merdivenköy'de Prestijli Binada Satılık 3+1125m2 Net Büyük Daire,4975000,Merdivenköy,125.0,31.0,1020.0,7,Merkezi Sistem (Isı Payı Ölçer),31-35,Kiracılı,,,Evet,0.0
1017,MERDİVENKÖY DE 45 M2 ÇEŞİTLİ İŞ KOLLARINA UYGUN SATILIK DÜKKAN,4350000,Merdivenköy,,2.0,,,Merkezi Sistem,,,,,Evet,0.0
1018,FIRSAT KADIKÖY MERDİVENKÖY SON KALİTE SIFIR 3+1 PROJEDEN DAİRE,4350000,Merdivenköy,95.0,31.0,8.0,7,Yerden Isıtma,0,Boş,,,Hayır,0.0
1019,SAHRAYICEDİT'DE 65 M2 NET ÇEŞİTLİ İŞ KOLUNA UYGUN SATILIK DÜKKAN,2800000,Merdivenköy,,1.0,,,Merkezi Sistem,,,,,Evet,0.0
1020,Merdivenköy'de Ana Cadde Üzeri Net 90 m2 2+1 Satılık Daire,5900000,Merdivenköy,90.0,21.0,7.0,1,,4,Mülk,Danışman,,Evet,
1021,Merdivenköy'de Ana Cadde Üzeri Net 90 m2 2+1 Satılık Daire,5900000,Merdivenköy,90.0,21.0,7.0,1,Kombi (Doğalgaz),4,Mülk,Danışman,Kat İrtifakı,Evet,
1022,BROOKLYN PARKTA 2+1 EBEVEYN BANYOLU SATILIK LÜX DAİRE,3650000,Merdivenköy,75.0,21.0,20.0,8,Merkezi Sistem (Isı Payı Ölçer),1,Kiracılı,,,Evet,0.0
1023,ACİL BROOKLYN PARK TA YÜKSEK KATTA BÜYÜK TİP KÖŞE BOŞ DAIRE,3490000,Merdivenköy,78.0,21.0,20.0,14,Merkezi Sistem (Isı Payı Ölçer),0,Boş,,,Evet,0.0
1024,REFERANS GAYRİMENKUL'DEN CADDE ÜZERİ ÖNKULLANIMLI SATILIK DÜKKAN,15000000,Merdivenköy,,3.0,,,Kombi (Doğalgaz),6-10,,,,Evet,0.0
1025,Merdivenköy'de Satılık 18m2 Kapalı + 25 m2 Ön Kullanımlı Dükkan,995000,Merdivenköy,,1.0,,,Yok,,,,,Evet,0.0
1026,MERDİVENKÖY MAH. HIZIR BEY CAD. GİRİŞ KAT EŞYALI 1+1,1600000,Merdivenköy,55.0,11.0,5.0,Giriş Katı,Merkezi Sistem,31-35,Kiracılı,,,Hayır,0.0
1027,SAHRAYICEDİT FERİT BEY SOKAKTA GENÇ BİNA SATILIK 3+1 DAİRE,5950000,Sahrayı,100.0,31.0,1020.0,1,Merkezi Sistem (Isı Payı Ölçer),5,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
1028,NİL GAYRİMENKUL'DEN DEVREN SATILIK LOKANTA,175000,Sahrayı,100.0,2.0,,,Kombi (Doğalgaz),3,,,,Evet,0.0
1029,ANA CADDE ÜZERİNDE KİRACILI 500 M2 DÜKKAN,15000000,Sahrayı,425.0,2.0,1020.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
1030,Sahrayı Cedit'de cadde üzerinde 3 yıllık binada 95 m2 3+1 daire,4975000,Sahrayı,75.0,31.0,1020.0,2,Kombi (Doğalgaz),3,Kiracılı,,Kat Mülkiyeti,Evet,0.0
1031,SAHRAYICEDİT MAHALLESİ ATATÜRK CADDESİNDE SATILIK 3+1 DAİRE,4950000,Sahrayı,125.0,31.0,10.0,3,Merkezi Sistem (Isı Payı Ölçer),31-35,Boş,,,Evet,0.0
1032,MERDİVENKÖY PARK MEDİKAL HAST YAKIN 140 M2 TERTEMİZ KİRACILI .,2650000,Sahrayı,120.0,31.0,7.0,6,Merkezi Sistem (Isı Payı Ölçer),26-30,,,Kat İrtifakı,Evet,0.0
1033,SAHRAYICEDİD'TE YÜKSEK KATTA EBEVEYN BANYOLU 115 M2 İSKANLI,7250000,Sahrayı,100.0,31.0,10.0,10,Kombi (Doğalgaz),4,,,Kat Mülkiyeti,Evet,0.0
1034,SAHRAİCEDİTTE AZ KATLI BİNADA YÜSEK GİRİŞ 2+1 KOMBİLİ  FIRSAT,2500000,Sahrayı,70.0,21.0,3.0,Yüksek Giriş,Kombi (Doğalgaz),26-30,,Danışman,Kat İrtifakı,Evet,
1035,Sahrayı Ceditte Minibüs Caddesine Yakın 3+1 Balkonlu Daire,3365000,Sahrayı,110.0,31.0,9.0,9,Kombi (Doğalgaz),31-35,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
1036,WEN CADDE'DEN GÖZTEPE MİNİBÜSE 4.BİNA İSKANLI DUBLEKS 4+1,4750000,Sahrayı,190.0,41.0,9.0,9,Merkezi Sistem (Isı Payı Ölçer),2,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
1037,MERKEZİ KONUMDA 110 M2 DÜKKAN,4000000,Sahrayı,94.0,1.0,7.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,12500.0
1038,SAHRAYI CEDİT İNÖNÜ CADDESİ ÜZERİNDE 254 M2 DÜKKAN,25000000,Sahrayı,216.0,2.0,1020.0,Zemin Kat,Merkezi Sistem (Isı Payı Ölçer),0,,Danışman,Kat Mülkiyeti,Evet,
1039,SAHRAYI CEDİT İNÖNÜ CADDESİ ÜZERİNDE KİRACILI 400 M2 DÜKKAN,35000000,Sahrayı,340.0,2.0,9.0,Zemin Kat,Kombi (Doğalgaz),1,Kiracılı,Danışman,,Evet,0.0
1040,ANA CADDE ÜZERİNDE KİRACILI 200 M2 DÜKKAN,12500000,Sahrayı,170.0,1.0,8.0,Zemin Kat,Kombi (Doğalgaz),4,Kiracılı,Danışman,,Evet,22000.0
1041,MERKEZİ KONUMDA KİRACILI 200 M2 DÜKKAN,15000000,Sahrayı,170.0,2.0,1020.0,Zemin Kat,Kombi (Doğalgaz),16-20,Kiracılı,Danışman,,Evet,
1042,SAHRAYI CEDİT İNÖNÜ CADDESİ ÜZERİNDE KİRACILI 200 M2 DÜKKAN,20000000,Sahrayı,170.0,2.0,7.0,Zemin Kat,Merkezi Sistem,16-20,Kiracılı,Danışman,,Evet,
1043,Sahrayı Cedit İnönü Caddesi Üzerinde 3+1 Balkonlu Daire,3650000,Sahrayı,105.0,31.0,7.0,2,Kombi (Doğalgaz),31-35,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
1044,Tüccarbaşında Minibüs Caddesine Yakın Site İçerisinde 3+1 Daire,3300000,Sahrayı,90.0,31.0,1020.0,2,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
1045,Sahrayı Ceditte Atatürk Caddesine 1.Paralelde  3+1 Lüks Daire,4150000,Sahrayı,100.0,31.0,6.0,1,Kombi (Doğalgaz),31-35,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
1046,Tüccarbaşında Minibüs Caddesine Yakın Yeni Binada 1+1 Daire,2750000,Sahrayı,55.0,11.0,9.0,4,Kombi (Doğalgaz),16-20,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
1047,SAHRAYICEDİT HİLTON ARKASINDA SATILIK FIRSAT 3+1 DAİRE,5800000,Sahrayı,90.0,31.0,1020.0,7,Merkezi Sistem (Isı Payı Ölçer),4,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
1048,SAHRAYI CEDİT BAYAR CADDESİ ÜZERİNDE 100 M2 DÜKKAN,5500000,Sahrayı,85.0,2.0,7.0,Zemin Kat,Kombi (Doğalgaz),16-20,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
1049,ANA CADDE ÜZERİNDE BANKA KİRACILI 300 M2 DÜKKAN,27500000,Sahrayı,255.0,1.0,8.0,Zemin Kat,Kombi (Doğalgaz),11-15,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
1050,KOZYATAĞI HİLTON KARŞISI MANTOLAMALI ÖNÜ AÇIK BALKONLU 154M2 3+1,3890000,Sahrayı,110.0,31.0,8.0,3,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
1051,ÜÇEL SAHRAYI CEDİT MİNİBÜS YOLU YAKIN GENİŞ M2'Lİ BALKONLU 1+1!!,1500000,Sahrayı,65.0,11.0,3.0,1,Kombi (Doğalgaz),26-30,Boş,,Arsa Tapulu,Hayır,12500.0
1052,DİNAMİK'TEN 220M2 DUBLEKS VATANDAŞLIGA UYGUN 40M2 SALONLU,8000000,Sahrayı,175.0,41.0,6.0,6,Klima,11-15,Mülk,,,Evet,0.0
1053,SAHRAYICEDİT ATATÜRK CADDESİ YAKINI 4+1 SATILIK DUBLEKS DAİRE,4825000,Sahrayı,165.0,41.0,7.0,7,Klima,21-25,Kiracılı,Danışman,,Evet,0.0
1054,Kadıköy Sahrayı Cedit'te Satılık 1+1 Rezidans,3350000,Sahrayı,60.0,11.0,20.0,11,Kombi (Doğalgaz),0,Boş,Danışman,,Evet,10000.0
1055,ERENKÖY TÜCCARBAŞIN'DA K.OTOPARKLI İSKANLI YENİ BİNA ARA KAT 2+1,3850000,Sahrayı,75.0,21.0,6.0,1,Klima,6-10,Kiracılı,,,Evet,0.0
1056,KAÇMAZ EMLAK SAHRAYICEDİT 2+1 90 M2 2.KAT İSKANLI OTOPARK-ASANSÖ,4500000,Sahrayı,78.0,21.0,6.0,2,Kombi (Doğalgaz),4,Kiracılı,,,Evet,0.0
1057,PARK APARTMANI SATILIK DAİRE,5000000,Sahrayı,93.0,,,,,,,,,Evet,0.0
1058,KADIKÖY SAHRAYICEDİT DE 3+1 KAPALI OTOPARKLI SATILIK DAİRE,4850000,Sahrayı,97.0,31.0,1020.0,2,Merkezi Sistem (Isı Payı Ölçer),3,Kiracılı,,,Evet,0.0
1059,ARTVİN EMLAK'TAN İNÖNÜ CADDESİ'NDE SIFIR 3+1 7. KAT DAiRE,5850000,Sahrayı,105.0,31.0,1020.0,7,Klima,0,Boş,,,Hayır,0.0
1060,ARTVİN EMLAK'TAN İNÖNÜ CADDESİ ÜZERİNDE SIFIR 3+1 BALKONLU DAİRE,6100000,Sahrayı,105.0,31.0,1020.0,1,Klima,0,Boş,,,Hayır,0.0
1061,MERKEZİ KONUMDA 34 M2 DÜKKAN,1800000,19,29.0,1.0,7.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
1062,Kozyatağı Atatürk Caddesi'ne Cepheli İş Merkezinde Özel İşyeri,12000000,19,,,,1,Merkezi Sistem,,,,,Evet,0.0
1063,CENTURY 21.SAHRA'DAN MİNİBÜS CAD.ÇOK YAKIN İÇİ YAPILI 3+1,3550000,19,85.0,31.0,3.0,1,Merkezi Sistem,31-35,Boş,,,Evet,0.0
1064,19 MAYIS MAHALLESİNDE İÇİ TAMAMEN YENİLENMİŞ 3+1 100M2 NET,3980000,19,100.0,31.0,9.0,6,Merkezi Sistem,26-30,Boş,Danışman,Kat Mülkiyeti,Hayır,
1065,SATILIK  SUADİYEDE MİNÜBÜS ALTINDA SIFIR 2+1 ARAKAT ÖN CEPHE,6100000,19,90.0,21.0,9.0,7,Merkezi Sistem (Isı Payı Ölçer),0,Boş,Danışman,Kat Mülkiyeti,Evet,20000.0
1066,ALKAYA'DAN KOZYATAĞI'NDA SATILIK BALKONLU DAİRE 110 M² NET 3+1,5800000,19,110.0,31.0,1020.0,7,Klima,6-10,Boş,,,Evet,0.0
1067,"19 MAYIS mah. SIFIR KULANIŞLI 2+1, MANZARALI",6300000,19,100.0,21.0,9.0,7,Klima,0,Boş,,,Evet,0.0
1068,"ÖZEL MİMARİ DEKORLU, BALKONLU, İSKANLI 3+1 SATILIK FIRSAT DAİRE",4080000,19,100.0,31.0,9.0,7,Merkezi Sistem,26-30,Boş,,,Evet,0.0
1069,KADIKÖY KOZYATAĞI DUBLEKS,8500000,19,155.0,41.0,6.0,6,Merkezi Sistem,4,Boş,,Kat Mülkiyeti,Evet,0.0
1070,BOŞ ..19 MAYIS MAHALLESİNDE KOMBİLİ 85 M2 NET ÖNÜ AÇIK 2+1 DAİRE,5500000,19,85.0,21.0,8.0,8,Kombi (Doğalgaz),4,Boş,Danışman,Kat Mülkiyeti,Evet,
1071,ALKAYA'DAN KOZYATAĞI'NDA SATILIK BALKONLU DAİRE 110 M² NET 3+1,5800000,19,110.0,31.0,1020.0,7,Merkezi Sistem (Isı Payı Ölçer),6-10,Boş,,,Evet,0.0
1072,KOZYATAĞI Metroya Yakın Satılık 2+1 Ferah Daire,3200000,19,86.0,21.0,1020.0,10,Merkezi Sistem,31-35,Kiracılı,Danışman,,Hayır,
1073,KOZYATAĞI BAYER CAD.'DE 4 YAŞINDA 2+1 80 M2 YÜKSEK KİRA GETİRİLİ,4750000,19,70.0,21.0,1020.0,13,Merkezi Sistem,4,,Danışman,Kat Mülkiyeti,Evet,0.0
1074,Kozyatağı İnönü Caddesinde Yeni Binada 4+1 Dubleks Daire,6250000,19,130.0,41.0,6.0,6,Kombi (Doğalgaz),16-20,Mülk,Danışman,Kat İrtifakı,Evet,0.0
1075,Minibüs Caddesi -Bayar Caddesi Arası Prestijli Bina  3+1 Daire,4200000,19,103.0,31.0,1020.0,7,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
1076,Kozyatağı İnönü Caddesi Sümko Sitesinde 3+1 Yenilenmiş Daire,2500000,19,90.0,31.0,4.0,Kot 1,Kombi (Doğalgaz),26-30,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
1077,SUADİYEDE SIFIR BİNA BAĞDAT CAD. YÜRÜME MESAFESİNDE 3+1 SATILIK,7000000,19,90.0,31.0,1020.0,1,Merkezi Sistem (Isı Payı Ölçer),0,Boş,Danışman,Kat İrtifakı,Evet,0.0
1078,SULTAN SOKAKTA GENİŞ 4+1 SATILIKTIR,6150000,19,140.0,41.0,7.0,5,Kombi (Doğalgaz),26-30,Boş,Danışman,Kat Mülkiyeti,Evet,10000.0
1079,ŞEMSETTİN GÜNALTAY CADDESİ ÜZERİNDE BANKA KİRACILI 260 M2 DÜKKAN,25000000,19,221.0,2.0,10.0,Zemin Kat,Kombi (Doğalgaz),16-20,Kiracılı,Danışman,,Evet,0.0
1080,ŞEMSETTİN GÜNALTAY CADDESİ ÜZERİNDE 120 M2 DÜKKAN,14500000,19,102.0,2.0,9.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,0.0
1081,Kazaskerde Minibüs Caddesine Yakın Yeni Binada 3+2 Dubleks Daire,6400000,19,165.0,32.0,1020.0,14,Kombi (Doğalgaz),2,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
1082,Kozyatağı Acıbadem Hastanesine Yakın Yeni Binada 3+1 Daire,7450000,19,125.0,31.0,7.0,5,Kombi (Doğalgaz),16-20,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
1083,KAZASKER MİNİBÜSE 3. BİNADA 110M2 BALKONLU LÜKS DAİRE,3550000,19,90.0,31.0,4.0,2,,40,Boş,Danışman,Kat Mülkiyeti,Evet,
1084,REMAX OPTİMA'DAN VATANDAŞLIĞA UYGUN 4+1 190m2 MUHTEŞEM MANZARA..,8990000,19,165.0,41.0,8.0,5,Kombi (Doğalgaz),16-20,Mülk,,,Evet,0.0
1085,CİTY DEN KOZYATAĞINDA ACIBADEM HAST. KOMŞU KATTA TEK 175m2 3+1,7650000,19,125.0,31.0,7.0,4,Kombi (Doğalgaz),16-20,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
1086,ERENKÖY HASTAHANE YAKINI 135M2 ASANSÖRLÜ OTOPARKLI BALKONLU,4200000,19,105.0,31.0,1020.0,7,Merkezi Sistem (Isı Payı Ölçer),26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
1087,"Kozyatağı, Bayar Caddesinde Satılık 2 + 1 Daire",2625000,19,65.0,21.0,5.0,Giriş Katı,Kombi (Doğalgaz),26-30,Kiracılı,,,Evet,0.0
1088,CİTY DEN BAYAR CAD. FULL YAPILI SÜPER 180m2 4+1 DAİRE,5450000,19,140.0,41.0,9.0,7,Merkezi Sistem (Isı Payı Ölçer),21-25,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
1089,KOZYATAĞI ACIBADEM HAST. VE METRO İSTASYONUNA YAKIN KOMBİLİ 3+1,4000000,19,115.0,31.0,7.0,3,Kombi (Doğalgaz),31-35,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
1090,Erenköy kaçırılmayacak fırsat daire 3+1 giriş katı,3950000,19,100.0,31.0,9.0,Bahçe katı,Merkezi Sistem (Isı Payı Ölçer),26-30,Boş,,,Evet,0.0
1091,İNÖNÜ CADDESİNDE YOLA CEPHE 3+1 SATILIK DAİRE,3930000,19,115.0,31.0,7.0,1,,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
1092,ŞEMSETTİN GÜNALTAYA CEPHE BİNADA SATILIK DÜKKAN,2980000,19,,2.0,,,Kombi (Doğalgaz),4,,,,Evet,0.0
1093,KAZASKER ŞEMSETTİN GÜNALTAY CADDESİ ÜZERİ KİRACILI 200 M2 DÜKKAN,27500000,19,170.0,2.0,1020.0,Zemin Kat,Merkezi Sistem (Isı Payı Ölçer),1,Kiracılı,Danışman,Kat Mülkiyeti,Evet,72000.0
1094,KAZASKER ŞEMSETTİN GÜNALTAY CADDESİ ÜZERİNDE 150 M2 DÜKKAN,14000000,19,128.0,3.0,8.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
1095,Suadiye'de Sıfır Binada Balkonlu 3+1 Satılık Daire,8200000,19,96.0,31.0,8.0,8,Kombi (Doğalgaz),0,Boş,,Kat Mülkiyeti,Evet,0.0
1096,NOVACADDE'DEN İÇİ TAMAMEN YENİLENMİŞ SATILIK 3+1 DAİRE,3980000,19,100.0,,,,,,,,,Hayır,0.0
1097,YÜKSEK CİROLU SİTE İÇİ 25 YILLIK DEVREN SATILIK MARKET,128000,19,40.0,2.0,1020.0,Bahçe katı,Kombi (Doğalgaz),26-30,,Danışman,Kat Mülkiyeti,Hayır,
1098,"KOZYATAĞI YILDIZ SOKAKTA,YAPILI, YEŞİLLİKLER, İÇİNDE 3+1 SATILIK",4350000,19,105.0,31.0,10.0,8,Merkezi Sistem (Isı Payı Ölçer),26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
1099,KAZASKER'DE İÇİ KOMPLE YENİLENMİŞ 3+1 BALKONLU KATTA TEK DAİRE,4250000,19,98.0,31.0,6.0,4,Klima,26-30,Mülk,,,Evet,0.0
